"","country","year","code","AG.PRD.FOOD.XD","AG.PRD.LVSK.XD","EG.CFT.ACCS.ZS","EG.ELC.ACCS.RU.ZS","EG.ELC.ACCS.UR.ZS","EG.ELC.ACCS.ZS","EN.POP.DNST","ER.GDP.FWTL.M3.KD","NV.MNF.FBTO.ZS.UN","SH.H2O.BASW.RU.ZS","SH.H2O.BASW.UR.ZS","SH.H2O.BASW.ZS","SH.H2O.SAFE.RU.ZS","SH.H2O.SAFE.UR.ZS","SH.H2O.SAFE.ZS","SH.H2O.SMDW.RU.ZS","SH.H2O.SMDW.UR.ZS","SH.H2O.SMDW.ZS","SM.POP.REFG","SM.POP.REFG.OR","SN.ITK.DEFC.ZS","SN.ITK.DFCT","SP.POP.GROW","SP.POP.TOTL","TM.VAL.FOOD.ZS.UN","TX.VAL.FOOD.ZS.UN","stability_index_estimate","stability_index_stderr","stability_index_numsrc","stability_index_rank","stability_index_lower","stability_index_upper","terrorism_incidents"
"561","Colombia",2000,"COL",87.38,86.1,77.110812068,83.8,99.4,95.2,36.4163659306,24.850404067,30.1326604576,70.19433034,97.7339254983,90.0434935504,71,97.2,89.9,32.4567252227,80.9659029273,67.4197150533,239,9279,9.7,70,1.4576558472,40403958,11.9261577064,19.0169593542,"-1.6036808490753174","0.31357041001319885","5","8.4656085968017578","1.0582010746002197","15.873015403747559",137
"568","Colombia",2008,"COL",110.23,116.23,85.3319644928,87.470664,99.713281,96.806763,40.4700712032,23.0729632589,29.4676377574,78.6267826051,98.9080728719,93.7282313378,72.7,97,90.8,36.3557550274,81.5290562491,69.9917951171,170,373532,9.5,65,1.1805579006,44901544,10.1275311877,14.7580975423,"-1.8509093523025513","0.24162895977497101","8","5.769230842590332","1.923076868057251","9.6153850555419922",133
"759","Ecuador",2000,"ECU",91.59,85.78,86.817394197,82.7110671997,100,93.3357620239,50.8479465292,4.9598986952,0.2280103139,71.9564877254,90.4347745276,83.0987098843,67.3,87.9,79.7,50.2802895213,76.9440473868,66.3582688766,1602,671,18.5,110,1.8372863765,12628596,9.0043047428,36.5133759271,"-0.5741424560546875","0.34280896186828613","4","28.571428298950195","14.285714149475098","43.386241912841797",4
"763","Ecuador",2005,"ECU",98.31,96.31,91.0850197077,87.718723,99.668752,95.83265,55.3037244323,5.9375035971,29.8525079045,74.7773807878,93.4797359516,86.3187911829,70.2,89.8,82.3,52.2514157445,79.5347726617,69.0882481317,10063,775,17,131,1.6560260527,13735233,8.0313410466,28.2752842971,"-0.7943652868270874","0.27866923809051514","6","23.786407470703125","12.135922431945801","36.407768249511719",0
"850","Ethiopia",2002,"ETH",85.03,95.91,2.6175022125,0.7144529819,84.167578337,13.3308963776,70.497192,2.5863249889,52.641717834,10.2623714653,72.4010512885,19.6564970809,22.8,87.9,32.7,0.0461697221,35.4941274592,5.4051919728,132940,61240,46.7,424,2.8852176855,70497192,11.3028616591,69.2832572202,"-1.223213791847229","0.31610643863677979","4","14.814814567565918","3.7037036418914795","25.396825790405273",3
"853","Ethiopia",2005,"ETH",102.65,96.57,2.0778536797,1.9,85.7,14,76.727083,2.2720742811,48.4142384392,14.7979458075,73.5093267447,24.0156326146,28.8,89.1,38.3,0.4999272155,36.0374520325,6.0793186118,100817,65461,39.7,357,2.7787150564,76727083,10.6449481113,78.7266055836,"-1.6907486915588379","0.27866923809051514","6","5.8252425193786621","0.97087377309799194","13.592232704162598",5
"1714","Morocco",2002,"MAR",83.72,93.63,91.8701946735,46.1375732422,91.0531700159,70.3875045776,66.1267488237,4.2953403226,20.703456229,35.5726432376,93.2683614599,66.7225615058,59.4,96.3,79.3,21.5827141659,86.4625593852,56.6113425998,2127,1269,6.4,47,1.1263105869,29512368,14.022583318,21.458859622,"-0.26419633626937866","0.30107808113098145","5","37.037036895751953","23.809524536132813","51.851852416992188",0
"1722","Morocco",2010,"MAR",125.22,132.2,97.0178127289,70.8638381958,96.568512391,85.6913223267,72.6185054896,9.0064489528,20.6100237794,52.8563714752,94.7893249492,77.0449763571,63.7,98.1,83.5,32.0691366615,87.8725380099,64.2587706953,792,2284,5.3,39,1.3035744354,32409639,11.4491642022,19.0052635351,"-0.38301330804824829","0.24354709684848785","7","32.701423645019531","22.274881362915039","46.445499420166016",0
"1990","Peru",2008,"PER",120.23,121.74,55.039152503,50.133503,97.041166,84.678343,22.376546875,9.9340354897,30.5365243572,62.354206803,93.1498203408,85.8149211083,62.1,90.5,83.7,17.1546236218,57.4778346161,47.8736522214,1075,7339,14.2,117,1.2268804662,28641980,9.9826694216,19.0669352222,"-0.89070552587509155","0.24162895977497101","8","17.30769157409668","11.538461685180664","28.846153259277344",1
